name,lat,lng
AMK-00C7,1.389498,103.851827
AMK-00C8,1.388995,103.829429
AMK-00C9,1.390033,103.835994
AMK-00CE,1.381406,103.845112
AMK-00CF,1.382001,103.844616
AMK-00D1,1.382169,103.844574
AMK-00D2,1.392899,103.839802
AMK-00D3,1.391917,103.853461
AMK-00D6,1.387901,103.846213
AMK-00D7,1.386716,103.856635
AMK-00D8,1.373628,103.856989
AMK-00D9,1.371961,103.857261
AMK-00DA,1.38238,103.839424
AMK-00DB,1.370254,103.839402
AMK-00DC,1.370672,103.839667
AMK-00DD,1.371004,103.839019
AMK-00DE,1.371306,103.839102
AMK-00DF,1.37246,103.83726
AMK-00E0,1.372399,103.837367
AMK-00E1,1.372274,103.837718
AMK-00E2,1.37188,103.837663
AMK-00E3,1.372019,103.837207
AMK-00E4,1.371063,103.838051
AMK-00E5,1.370107,103.837541
AMK-00E6,1.370454,103.837337
AMK-00E7,1.370441,103.837229
AMK-00E8,1.370359,103.83712
AMK-00E9,1.370476,103.837498
AMK-00EA,1.37083,103.83705
AMK-00EB,1.370876,103.837465
AMK-00EC,1.371283,103.835893
AMK-00ED,1.37171,103.836094
AMK-00EE,1.372897,103.836557
AMK-00EF,1.373376,103.835363
AMK-00F0,1.373216,103.835558
AMK-00F1,1.373267,103.836678
AMK-00F2,1.373588,103.835765
AMK-00F3,1.369622,103.844918
AMK-00F4,1.369557,103.844505
AMK-00F5,1.370033,103.844668
AMK-00F6,1.369745,103.843286
AMK-00F7,1.37092,103.844586
AMK-00F8,1.371492,103.844858
AMK-00F9,1.371207,103.843582
AMK-00FA,1.371634,103.843631
AMK-00FB,1.370049,103.842485
AMK-00FC,1.369886,103.842258
AMK-00FD,1.370425,103.841719
AMK-00FE,1.370377,103.842037
AMK-00FF,1.371067,103.841457
AMK-0100,1.371081,103.841325
AMK-0101,1.37149,103.841454
AMK-0102,1.372074,103.84255
AMK-0103,1.372054,103.84238
AMK-0104,1.372032,103.8425
AMK-0105,1.376842,103.842198
AMK-0106,1.376805,103.842064
AMK-0107,1.376846,103.841117
AMK-0108,1.376678,103.840208
AMK-0109,1.376347,103.841982
AMK-010A,1.376376,103.842271
AMK-010B,1.376331,103.841864
AMK-010C,1.376274,103.841361
AMK-010D,1.376261,103.841085
AMK-010E,1.375848,103.840195
AMK-010F,1.375791,103.840362
AMK-0110,1.375975,103.839773
AMK-0111,1.375464,103.840029
AMK-0112,1.375399,103.840204
AMK-0113,1.375526,103.839814
AMK-0114,1.375432,103.839371
AMK-0115,1.374921,103.840013
AMK-0116,1.374406,103.838847
AMK-0117,1.374287,103.83994
AMK-0118,1.373923,103.836983
AMK-0119,1.374001,103.836423
AMK-011A,1.374884,103.835562
AMK-011B,1.374496,103.836821
AMK-011C,1.375252,103.835988
AMK-011D,1.375305,103.835923
AMK-011E,1.375313,103.836589
AMK-011F,1.375791,103.836102
AMK-0120,1.37602,103.83628
AMK-0121,1.375975,103.837702
AMK-0122,1.375938,103.837824
AMK-0123,1.375898,103.837974
AMK-0124,1.376106,103.837312
AMK-0125,1.376425,103.836768
AMK-0126,1.37676,103.83637
AMK-0127,1.377062,103.836033
AMK-0128,1.37678,103.838116
AMK-0129,1.376678,103.838717
AMK-012A,1.37676,103.83732
AMK-012B,1.376846,103.837052
AMK-012C,1.377389,103.836378
AMK-012D,1.377173,103.83665
AMK-012E,1.36886,103.844262
AMK-012F,1.368803,103.844954
AMK-0130,1.367644,103.844193
AMK-0131,1.367805,103.843987
AMK-0132,1.367424,103.844431
AMK-0133,1.36761,103.843627
AMK-0134,1.367422,103.843876
AMK-0135,1.367227,103.844111
AMK-0136,1.366878,103.843668
AMK-0137,1.367196,103.843302
AMK-0138,1.366697,103.843836
AMK-0139,1.367002,103.843524
AMK-013A,1.366535,103.843483
AMK-013B,1.366415,103.843582
AMK-013C,1.365922,103.842513
AMK-013D,1.365793,103.842928
AMK-013E,1.365548,103.842412
AMK-013F,1.36546,103.842624
AMK-0140,1.365395,103.842834
AMK-0141,1.36902,103.842865
AMK-0142,1.36889,103.843706
AMK-0143,1.368958,103.843304
AMK-0144,1.368559,103.843224
AMK-0145,1.368632,103.842813
AMK-0146,1.368508,103.843645
AMK-0147,1.369219,103.84154
AMK-0148,1.369177,103.841806
AMK-0149,1.369264,103.841131
AMK-014A,1.369272,103.84104
AMK-014B,1.36888,103.840997
AMK-014C,1.368829,103.841574
AMK-014D,1.368768,103.84195
AMK-014E,1.368819,103.841267
AMK-014F,1.367895,103.840894
AMK-0150,1.367746,103.841369
AMK-0151,1.367278,103.841443
AMK-0152,1.367522,103.840739
AMK-0153,1.367377,103.841202
AMK-0154,1.366315,103.841132
AMK-0155,1.366149,103.841607
AMK-0156,1.365647,103.841495
AMK-0157,1.36541,103.842143
AMK-0158,1.365458,103.842019
AMK-0159,1.365259,103.841347
AMK-015A,1.365077,103.84189
AMK-015B,1.365025,103.84206
AMK-015C,1.366021,103.840542
AMK-015D,1.366073,103.840373
AMK-015E,1.365961,103.840752
AMK-015F,1.365876,103.840933
AMK-0160,1.36555,103.840552
AMK-0161,1.365619,103.840397
AMK-0162,1.365489,103.840771
AMK-0163,1.36646,103.839279
AMK-0164,1.366286,103.839686
AMK-0165,1.366204,103.837841
AMK-0166,1.366044,103.838079
AMK-0167,1.366064,103.838186
AMK-0168,1.366603,103.837972
AMK-0169,1.366499,103.838412
AMK-016A,1.367454,103.837991
AMK-016B,1.3678,103.838204
AMK-016C,1.367846,103.838048
AMK-016D,1.36775,103.838356
AMK-016E,1.369172,103.838172
AMK-016F,1.368922,103.838343
AMK-0170,1.368571,103.838083
AMK-0171,1.368758,103.837953
AMK-0172,1.368773,103.837368
AMK-0173,1.367225,103.836509
AMK-0174,1.367106,103.836815
AMK-0175,1.366808,103.836427
AMK-0176,1.367341,103.834454
AMK-0177,1.367212,103.83478
AMK-0178,1.367747,103.834586
AMK-0179,1.369597,103.834514
AMK-017A,1.369732,103.834596
AMK-017B,1.37025,103.834575
AMK-017C,1.370285,103.834419
AMK-017D,1.370168,103.83476
AMK-017E,1.37077,103.834352
AMK-017F,1.370679,103.836106
AMK-0180,1.370697,103.836239
AMK-0181,1.370571,103.835714
AMK-0182,1.370588,103.835833
AMK-0183,1.370175,103.836385
AMK-0184,1.369792,103.836631
AMK-0185,1.367636,103.845603
AMK-0186,1.367191,103.846197
AMK-0187,1.367355,103.84533
AMK-0188,1.362515,103.850925
AMK-0189,1.366532,103.845402
AMK-018A,1.36658,103.845358
AMK-018B,1.366732,103.845138
AMK-018C,1.366175,103.84516
AMK-018D,1.366241,103.845795
AMK-018E,1.365571,103.845976
AMK-018F,1.366626,103.849053
AMK-0190,1.366218,103.848883
AMK-0191,1.366232,103.848814
AMK-0192,1.366608,103.849771
AMK-0193,1.366621,103.850368
AMK-0194,1.366621,103.850023
AMK-0195,1.366263,103.849667
AMK-0196,1.36626,103.850448
AMK-0197,1.36558,103.846972
AMK-0198,1.365613,103.846942
AMK-0199,1.365507,103.847164
AMK-019A,1.365446,103.84717
AMK-019B,1.365599,103.84783
AMK-019C,1.365594,103.847769
AMK-019D,1.365566,103.8481
AMK-019E,1.365156,103.848463
AMK-019F,1.368342,103.847979
AMK-01A0,1.367932,103.847502
AMK-01A1,1.367935,103.847882
AMK-01A2,1.368363,103.847112
AMK-01A3,1.3683,103.847115
AMK-01A4,1.368342,103.847029
AMK-01A5,1.368352,103.846946
AMK-01A6,1.368311,103.846863
AMK-01A7,1.367956,103.846846
AMK-01A8,1.367038,103.847916
AMK-01A9,1.367042,103.847595
AMK-01AA,1.367014,103.846984
AMK-01AB,1.367038,103.846718
AMK-01AC,1.366667,103.847965
AMK-01AD,1.366642,103.847878
AMK-01AE,1.366632,103.846901
AMK-01AF,1.362568,103.850869
AMK-01B0,1.362136,103.850726
AMK-01B1,1.362198,103.850666
AMK-01B2,1.361441,103.852256
AMK-01B3,1.361135,103.851923
AMK-01B4,1.363768,103.850666
AMK-01B5,1.363763,103.850775
AMK-01B6,1.3637,103.851142
AMK-01B7,1.363685,103.851259
AMK-01B8,1.363109,103.850837
AMK-01B9,1.36336,103.850495
AMK-01BA,1.363623,103.851561
AMK-01BB,1.36359,103.85179
AMK-01BC,1.363617,103.851635
AMK-01BD,1.363243,103.85137
AMK-01BE,1.364335,103.848788
AMK-01BF,1.36838,103.848808
AMK-01C0,1.368001,103.849757
AMK-01C1,1.367122,103.849426
AMK-01C2,1.366208,103.847678
AMK-01C3,1.363602,103.8502
AMK-01C4,1.364248,103.850226
AMK-01C5,1.364542,103.850795
AMK-01C6,1.364143,103.851619
AMK-01C7,1.363876,103.852051
AMK-01C8,1.36098,103.855386
AMK-01C9,1.361054,103.855468
AMK-01CA,1.361395,103.855305
AMK-01CB,1.361522,103.85542
AMK-01CC,1.361226,103.854947
AMK-01CD,1.361219,103.85497
AMK-01CE,1.361267,103.854831
AMK-01CF,1.361236,103.854919
AMK-01D0,1.361737,103.854425
AMK-01D1,1.361745,103.854404
AMK-01D2,1.361691,103.854529
AMK-01D3,1.361725,103.854453
AMK-01D4,1.361507,103.854176
AMK-01D5,1.361728,103.853587
AMK-01D6,1.361516,103.854148
AMK-01D7,1.361715,103.853625
AMK-01D8,1.361836,103.854207
AMK-01D9,1.361863,103.854188
AMK-01DA,1.362148,103.853481
AMK-01DB,1.362151,103.853509
AMK-01DC,1.361991,103.853814
AMK-01DD,1.361986,103.853828
AMK-01DE,1.363029,103.854796
AMK-01DF,1.363491,103.855015
AMK-01E0,1.363448,103.855104
AMK-01E1,1.363856,103.855323
AMK-01E2,1.36389,103.855243
AMK-01E3,1.363461,103.853851
AMK-01E4,1.364003,103.853605
AMK-01E5,1.363514,103.853654
AMK-01E6,1.363897,103.853863
AMK-01E7,1.364005,103.853386
AMK-01E8,1.363982,103.8537
AMK-01E9,1.363846,103.853986
AMK-01EA,1.364365,103.853908
AMK-01EB,1.364466,103.853658
AMK-01EC,1.364932,103.855276
AMK-01ED,1.365113,103.854823
AMK-01EE,1.364907,103.855362
AMK-01EF,1.365085,103.853791
AMK-01F0,1.365017,103.853763
AMK-01F1,1.365269,103.854456
AMK-01F2,1.365346,103.85423
AMK-01F3,1.365486,103.853791
AMK-01F4,1.365218,103.854434
AMK-01F5,1.364897,103.852872
AMK-01F6,1.364943,103.852999
AMK-01F7,1.368824,103.851987
AMK-01F8,1.368701,103.850801
AMK-01F9,1.368938,103.850865
AMK-01FA,1.368532,103.850781
AMK-01FB,1.369207,103.851871
AMK-01FC,1.369067,103.851371
AMK-01FD,1.369509,103.853318
AMK-01FE,1.369489,103.853131
AMK-01FF,1.369505,103.853486
AMK-0200,1.369492,103.853199
AMK-0201,1.369272,103.85471
AMK-0202,1.369402,103.854291
AMK-0203,1.369337,103.854543
AMK-0204,1.3692,103.854872
AMK-0205,1.369447,103.854159
AMK-0206,1.368831,103.854691
AMK-0207,1.368905,103.85452
AMK-0208,1.369003,103.854227
AMK-0209,1.368938,103.854369
AMK-020A,1.369077,103.853228
AMK-020B,1.36908,103.853353
AMK-020C,1.369048,103.852686
AMK-020D,1.368324,103.853373
AMK-020E,1.368315,103.853692
AMK-020F,1.368178,103.854095
AMK-0210,1.367929,103.853598
AMK-0211,1.367912,103.853637
AMK-0212,1.367883,103.853224
AMK-0213,1.367634,103.854391
